VariantName,nsuCountRead,actif_count,ActRate,Nb_Mut
MIN_CONST_130,324,109,0.336419753,136
AZO_RM_30_mut_928,50,36,0.72,5
AZO_RM_30_mut_215,32,35,1.09375,4
NAT_GII_sel_MNXF01000043.1/2316-2116,43,177,4.11627907,129
NAT_GII_sel_MGNU01000036.1/3097-3290,231,296,1.281385281,129
AZO_RM_30_mut_199,53,113,2.132075472,5
NAT_GII_sel_MHWP01000002.1/1106-1304,104,135,1.298076923,136
AZO_RM_30_mut_471,41,116,2.829268293,6
DCA_SB_50_156,163,1,0.006134969,76
MIN_CONST_135,274,270,0.98540146,137
MIN_CONST_351,1871,37,0.019775521,149
DCA_TM_3094,59,9,0.152542373,40
AZO_RM_30_mut_518,21,24,1.142857143,6
DCA_TM_3893,33,3,0.090909091,26
NAT_GII_sel_CP014168.1/3229648-3229439,101,178,1.762376238,125
AZO_RM_30_mut_940,28,26,0.928571429,6
NAT_GII_sel_CP002859.1/4600798-4601009,92,301,3.27173913,130
MIN_CONST_754,2285,25,0.010940919,146
NAT_GII_sel_LBWF01000002.1/14775-14591,153,155,1.013071895,117
DCA_SB_75_245,706,1,0.001416431,82
DCA_SB_75_661,62,1,0.016129032,72
AZO_RM_30_mut_602,43,65,1.511627907,6
AZO_RM_30_mut_376,56,156,2.785714286,9
AZO_RM_236,19,1,0.052631579,42
MIN_CONST_377,192,107,0.557291667,144
FULL_3D_CONST_83,407,7,0.017199017,90
AZO_RM_30_mut_310,162,140,0.864197531,10
DCA_TM_2348,97,9,0.092783505,51
AZO_RM_65,66,2,0.03030303,53
DCA_TM_1719,34,3,0.088235294,45
DCA_TM_1783,7,1,0.142857143,38
MIN_CONST_810,666,118,0.177177177,142
MIN_CONST_950,1635,16,0.009785933,149
MIN_CONST_570,405,373,0.920987654,145
MIN_CONST_105,215,129,0.6,137
NAT_GII_sel_MGFJ01000027.1/7685-7863,83,227,2.734939759,112
AZO_RM_30_mut_446,41,88,2.146341463,5
MIN_CONST_323,140,115,0.821428571,145
DCA_TM_3467,155,178,1.148387097,43
AZO_RM_30_mut_728,57,256,4.49122807,4
AZO_RM_30_mut_213,63,58,0.920634921,9
MIN_CONST_114,180,85,0.472222222,138
DCA_TM_2872,45,1,0.022222222,22
NAT_GII_sel_CP003587.1/1286602-1286788,130,34,0.261538462,117
FULL_3D_CONST_152,321,2,0.00623053,91
DCA_TM_1012,84,87,1.035714286,47
NAT_GII_sel_CP003607.1/3111245-3111050,287,375,1.306620209,116
AZO_RM_30_mut_699,56,21,0.375,4
NAT_GII_sel_JXXE01000147.1/12819-12626,112,269,2.401785714,126
MIN_CONST_133,385,188,0.488311688,140
NAT_GII_sel_MFNH01000011.1/1028-1216,54,32,0.592592593,120
NAT_GII_sel_AAYC01000006.1/126313-126125,72,217,3.013888889,110
NAT_GII_sel_LBYM01000015.1/15664-15456,47,136,2.893617021,146
NAT_GII_sel_MPIY01000011.1/3668-3454,54,80,1.481481481,121
NAT_GII_sel_MFSQ01000101.1/2060-1862,179,211,1.17877095,113
MIN_CONST_496,256,197,0.76953125,142
AZO_RM_30_mut_609,34,55,1.617647059,7
DCA_TM_2522,98,87,0.887755102,11
FULL_3D_CONST_327,1084,12,0.011070111,105
DCA_TM_4064,52,3,0.057692308,52
DCA_SB_75_311,96,1,0.010416667,105
MIN_CONST_196,405,299,0.738271605,138
NAT_GII_sel_MFCR01000011.1/141855-141658,215,61,0.28372093,122
AZO_RM_262,103,4,0.038834951,54
DCA_TM_4197,28,3,0.107142857,30
MIN_CONST_739,481,4,0.008316008,134
NAT_GII_sel_FR878260.1/343-534,77,209,2.714285714,123
AZO_RM_30_mut_766,53,117,2.20754717,6
DCA_TM_252,43,5,0.11627907,54
DCA_TM_3423,77,10,0.12987013,45
FULL_3D_CONST_246,314,6,0.01910828,93
AZO_RM_326,78,31,0.397435897,69
DCA_TM_2171,35,2,0.057142857,26
DCA_SB_50_256,126,33,0.261904762,51
DCA_TM_4579,96,49,0.510416667,22
MIN_CONST_106,287,129,0.449477352,140
AZO_RM_30_mut_126,41,130,3.170731707,4
MIN_CONST_977,258,311,1.205426357,145
NAT_GII_sel_MNXB01000005.1/39967-39779,129,516,4,127
NAT_GII_sel_CP011834.1/934039-934254,108,235,2.175925926,119
AZO_RM_30_mut_210,46,104,2.260869565,4
MIN_CONST_610,2229,17,0.007626738,137
NAT_GII_sel_MFVU01000036.1/988-1194,30,154,5.133333333,136
NAT_GII_sel_MFJG01000009.1/23309-23513,53,96,1.811320755,127
AZO_RM_30_mut_314,75,44,0.586666667,12
DCA_TM_1624,40,69,1.725,29
AZO_RM_30_mut_630,46,70,1.52173913,6
MIN_CONST_603,270,6,0.022222222,145
DCA_TM_4176,65,47,0.723076923,26
FULL_3D_CONST_225,234,4,0.017094017,93
AZO_RM_30_mut_362,60,51,0.85,4
DCA_TM_807,162,60,0.37037037,54
MIN_CONST_854,251,6,0.023904382,125
MIN_CONST_81,133,53,0.398496241,142
MIN_CONST_72,56,41,0.732142857,142
NAT_GII_sel_MFZF01000033.1/15668-15867,79,149,1.886075949,129
MIN_CONST_96,522,149,0.285440613,144
MIN_CONST_971,139,158,1.136690647,142
MIN_CONST_980,694,2,0.002881844,131
FULL_3D_CONST_222,1052,4,0.003802281,95
AZO_RM_30_mut_318,64,41,0.640625,9
AZO_RM_30_mut_485,37,73,1.972972973,4
AZO_RM_684,140,3,0.021428571,47
DCA_TM_2543,54,2,0.037037037,47
DCA_TM_2558,56,10,0.178571429,52
DCA_TM_4110,63,55,0.873015873,48
AZO_RM_30_mut_96,87,1,0.011494253,7
DCA_TM_1615,40,1,0.025,30
NAT_GII_sel_CP000806.1/415317-415531,66,27,0.409090909,97
NAT_GII_sel_BA000022.2/2791474-2791680,162,116,0.716049383,123
NAT_GII_sel_FRBR01000001.1/963666-963462,59,88,1.491525424,109
DCA_TM_4830,109,19,0.174311927,26
NAT_GII_sel_MNVP01000009.1/13290-13487,101,16,0.158415842,117
MIN_CONST_10,223,94,0.421524664,142
DCA_TM_4690,113,1,0.008849558,49
NAT_GII_sel_MGJA01000013.1/2056-1869,194,93,0.479381443,115
DCA_TM_2272,71,3,0.042253521,24
DCA_TM_1352,72,2,0.027777778,43
DCA_TM_4834,387,15,0.03875969,23
MIN_CONST_598,210,150,0.714285714,143
DCA_TM_2029,79,59,0.746835443,52
NAT_GII_sel_FUFT01000002.1/339379-339566,84,238,2.833333333,117
AZO_RM_30_mut_63,69,63,0.913043478,6
DCA_TM_2375,58,3,0.051724138,52
AZO_RM_30_mut_889,53,17,0.320754717,7
AZO_RM_30_mut_274,54,120,2.222222222,7
AZO_RM_30_mut_413,32,22,0.6875,7
MIN_CONST_835,1739,8,0.004600345,146
NAT_GII_sel_LBTG01000002.1/9713-9909,130,41,0.315384615,128
NAT_GII_sel_CP014263.1/4923384-4923585,823,210,0.255164034,110
MIN_CONST_506,1908,9,0.004716981,135
DCA_TM_2386,85,194,2.282352941,50
MIN_CONST_747,997,30,0.030090271,132
AZO_RM_30_mut_177,44,6,0.136363636,7
AZO_RM_30_mut_688,54,138,2.555555556,8
AZO_RM_30_mut_457,52,59,1.134615385,5
DCA_TM_368,81,55,0.679012346,48
DCA_SB_75_588,106,2,0.018867925,70
MIN_CONST_809,350,275,0.785714286,137
DCA_TM_3155,104,142,1.365384615,13
DCA_SB_50_339,52,42,0.807692308,84
NAT_GII_sel_CP000927.1/4086924-4087120,77,76,0.987012987,116
AZO_RM_30_mut_792,52,64,1.230769231,10
DCA_TM_918,15,1,0.066666667,39
FULL_3D_CONST_148,276,4,0.014492754,92
AZO_RM_30_mut_585,42,32,0.761904762,8
MIN_CONST_68,394,165,0.418781726,148
MIN_CONST_568,283,8,0.028268551,143
MIN_CONST_432,185,2,0.010810811,126
MIN_CONST_450,429,5,0.011655012,145
MIN_CONST_201,637,206,0.323390895,137
MIN_CONST_425,251,4,0.015936255,142
DCA_TM_3061,74,29,0.391891892,46
NAT_GII_sel_AAVU01000038.1/10725-10932,126,94,0.746031746,131
DCA_TM_3720,83,5,0.060240964,47
MIN_CONST_640,72,68,0.944444444,144
MIN_CONST_205,212,126,0.594339623,146
AZO_RM_30_mut_754,33,86,2.606060606,5
AZO_RM_306,295,6,0.020338983,60
MIN_CONST_216,281,113,0.402135231,136
MIN_CONST_218,131,95,0.72519084,144
AZO_RM_30_mut_200,52,121,2.326923077,5
MIN_CONST_132,129,93,0.720930233,147
NAT_GII_sel_MNGB01000007.1/194-1,280,280,1,117
DCA_TM_4417,157,4,0.025477707,38
AZO_RM_30_mut_101,118,262,2.220338983,7
MIN_CONST_83,422,183,0.433649289,145
DCA_TM_766,120,34,0.283333333,49
MIN_CONST_967,848,152,0.179245283,142
DCA_TM_300,62,34,0.548387097,49
NAT_GII_sel_KQ954253.1/244864-244662,146,90,0.616438356,119
MIN_CONST_209,75,38,0.506666667,146
MIN_CONST_233,789,7,0.00887199,149
MIN_CONST_804,1092,152,0.139194139,143
NAT_GII_sel_MHSA01000010.1/22189-22384,137,156,1.138686131,118
DCA_TM_504,95,33,0.347368421,49
MIN_CONST_386,119,76,0.638655462,144
DCA_TM_3210,103,3,0.029126214,46
MIN_CONST_938,24,23,0.958333333,145
FULL_3D_CONST_667,137,1,0.00729927,105
NAT_GII_sel_AP012549.1/2191933-2191737,72,96,1.333333333,115
DCA_TM_3373,75,4,0.053333333,46
MIN_CONST_240,129,86,0.666666667,138
AZO_RM_30_mut_321,148,1,0.006756757,8
DCA_TM_2287,67,2,0.029850746,44
AZO_RM_30_mut_993,54,193,3.574074074,6
DCA_TM_1498,72,43,0.597222222,49
FULL_3D_CONST_15,772,3,0.00388601,107
DCA_TM_3574,93,94,1.010752688,46
MIN_CONST_336,144,74,0.513888889,144
DCA_TM_4507,182,38,0.208791209,48
NAT_GII_sel_MFOW01000002.1/118020-118224,65,46,0.707692308,133
AZO_RM_30_mut_233,59,43,0.728813559,4
FULL_3D_CONST_860,960,50,0.052083333,89
DCA_TM_150,60,56,0.933333333,49
DCA_SB_50_650,35,1,0.028571429,83
FULL_3D_CONST_702,125,4,0.032,90
DCA_SB_50_206,65,56,0.861538462,84
DCA_TM_4351,159,16,0.100628931,54
NAT_GII_sel_MFFF01000022.1/11583-11787,82,25,0.304878049,126
MIN_CONST_853,682,78,0.114369501,141
DCA_TM_2391,107,38,0.355140187,45
FULL_3D_CONST_663,23,7,0.304347826,95
DCA_TM_3440,78,4,0.051282051,31
DCA_TM_3807,158,9,0.056962025,24
DCA_TM_2364,79,2,0.025316456,53
AZO_RM_30_mut_56,43,30,0.697674419,6
MIN_CONST_116,388,148,0.381443299,139
AZO_RM_30_mut_808,34,71,2.088235294,2
MIN_CONST_90,413,219,0.530266344,139
FULL_3D_CONST_273,435,1,0.002298851,116
MIN_CONST_415,242,85,0.351239669,135
DCA_TM_4701,94,2,0.021276596,50
MIN_CONST_761,465,78,0.167741935,136
DCA_TM_1280,52,2,0.038461538,46
AZO_RM_30_mut_10,31,31,1,7
DCA_TM_2902,53,46,0.867924528,46
MIN_CONST_763,319,22,0.068965517,140
MIN_CONST_190,79,44,0.556962025,141
NAT_GII_sel_MNXD01000034.1/2116-1914,27,61,2.259259259,131
AZO_RM_617,83,3,0.036144578,59
DCA_TM_4920,87,6,0.068965517,23
DCA_TM_3346,39,2,0.051282051,36
DCA_TM_2255,48,54,1.125,21
MIN_CONST_562,518,4,0.007722008,124
DCA_SB_50_643,80,1,0.0125,76
pho,2,1,0.5,141
AZO_RM_30_mut_632,94,116,1.234042553,7
MIN_CONST_210,512,69,0.134765625,142
MIN_CONST_259,102,73,0.715686275,140
DCA_TM_4226,173,4,0.023121387,47
DCA_TM_517,93,38,0.408602151,45
DCA_TM_2850,184,131,0.711956522,49
FULL_3D_CONST_290,640,7,0.0109375,98
DCA_SB_75_103,27,2,0.074074074,74
AZO_RM_30_mut_890,134,8,0.059701493,8
DCA_TM_1791,94,12,0.127659574,52
DCA_TM_4498,123,44,0.357723577,53
AZO_RM_30_mut_827,41,126,3.073170732,7
AZO_RM_30_mut_785,128,1,0.0078125,12
MIN_CONST_146,156,81,0.519230769,137
FULL_3D_CONST_282,883,5,0.005662514,92
AZO_RM_30_mut_68,57,39,0.684210526,6
DCA_TM_3154,61,30,0.491803279,50
DCA_TM_2325,45,19,0.422222222,47
AZO_RM_30_mut_108,105,58,0.552380952,5
MIN_CONST_144,269,42,0.156133829,140
MIN_CONST_443,992,13,0.013104839,143
AZO_RM_30_mut_570,37,104,2.810810811,5
NAT_GII_sel_LBQA01000009.1/118475-118273,29,65,2.24137931,116
DCA_TM_2655,83,18,0.21686747,28
NAT_GII_sel_JYON01000030.1/36113-35923,128,370,2.890625,104
DCA_TM_3740,32,3,0.09375,34
MIN_CONST_337,140,67,0.478571429,147
DCA_SB_75_737,70,2,0.028571429,72
FULL_3D_CONST_750,1307,19,0.014537108,97
FULL_3D_CONST_509,603,3,0.004975124,115
DCA_TM_4275,244,51,0.209016393,53
DCA_TM_4619,382,4,0.010471204,49
FULL_3D_CONST_9,1039,12,0.011549567,106
MIN_CONST_222,448,114,0.254464286,138
FULL_3D_CONST_671,492,96,0.195121951,93
DCA_TM_4367,40,1,0.025,48
AZO_RM_353,45,2,0.044444444,51
DCA_SB_75_167,90,1,0.011111111,70
MIN_CONST_984,110,161,1.463636364,144
AZO_RM_30_mut_298,79,57,0.721518987,4
FULL_3D_CONST_319,1089,141,0.129476584,88
AZO_RM_30_mut_938,77,136,1.766233766,6
AZO_RM_30_mut_41,47,96,2.042553191,3
DCA_TM_4530,41,45,1.097560976,12
AZO_RM_30_mut_218,42,27,0.642857143,6
DCA_TM_3277,107,1,0.009345794,46
MIN_CONST_80,128,70,0.546875,143
DCA_TM_1845,31,1,0.032258065,48
NAT_GII_sel_AE008692.2/1843917-1844119,59,132,2.237288136,123
MIN_CONST_751,822,127,0.154501217,141
NAT_GII_sel_LBWD01000009.1/21149-20948,129,52,0.403100775,124
MIN_CONST_744,1753,16,0.00912721,142
FULL_3D_CONST_383,352,3,0.008522727,96
AZO_RU_30_mut_876,102,1,0.009803922,18
NAT_GII_sel_GL876935.1/27482-27273,135,86,0.637037037,119
AZO_RM_30_mut_173,38,33,0.868421053,7
AZO_RM_354,34,1,0.029411765,55
DCA_TM_3915,35,15,0.428571429,27
MIN_CONST_97,360,172,0.477777778,145
FULL_3D_CONST_121,212,2,0.009433962,91
MIN_CONST_366,218,152,0.697247706,147
AZO_RM_30_mut_90,54,224,4.148148148,4
MIN_CONST_239,77,59,0.766233766,139
MIN_CONST_373,367,141,0.384196185,135
DCA_TM_4241,68,80,1.176470588,12
MIN_CONST_641,1032,190,0.184108527,142
DCA_SB_50_456,212,2,0.009433962,75
DCA_TM_967,127,93,0.732283465,47
AZO_RM_30_mut_765,65,85,1.307692308,5
NAT_GII_sel_MHCA01000044.1/26009-25808,67,101,1.507462687,139
AZO_RM_30_mut_545,152,31,0.203947368,6
MIN_CONST_681,159,4,0.025157233,133
NAT_GII_sel_LBOW01000003.1/38505-38710,41,14,0.341463415,124
DCA_TM_4443,182,2,0.010989011,44
MIN_CONST_134,339,98,0.289085546,137
AZO_RM_184,128,2,0.015625,56
NAT_GII_sel_LBOZ01000005.1/20339-20531,84,38,0.452380952,129
AZOARCUS,36,46,1.277777778,25
FULL_3D_CONST_986,984,226,0.229674797,88
DCA_TM_872,58,41,0.706896552,10
DCA_TM_2749,20,7,0.35,32
MIN_CONST_102,85,36,0.423529412,142
AZO_RM_30_mut_617,85,15,0.176470588,4
DCA_TM_1821,47,6,0.127659574,50
DCA_TM_4992,129,84,0.651162791,54
DCA_TM_2706,175,14,0.08,48
AZO_RM_30_mut_674,74,10,0.135135135,7
AZO_RM_30_mut_264,40,21,0.525,9
DCA_SB_50_567,173,1,0.005780347,53
DCA_TM_4724,235,5,0.021276596,40
AZO_RM_30_mut_698,46,3,0.065217391,5
AZO_RM_30_mut_91,56,96,1.714285714,5
AZO_RU_30_mut_149,91,9,0.098901099,15
MIN_CONST_77,84,46,0.547619048,142
AZO_RM_524,50,5,0.1,64
MIN_CONST_828,163,12,0.073619632,150
AZO_RM_30_mut_461,42,24,0.571428571,7
DCA_TM_1011,117,61,0.521367521,49
FULL_3D_CONST_333,324,3,0.009259259,95
FULL_3D_CONST_987,1117,92,0.082363474,87
MIN_CONST_156,384,72,0.1875,139
AZO_RM_30_mut_127,50,20,0.4,8
DCA_TM_4643,34,10,0.294117647,35
MIN_CONST_732,344,38,0.110465116,136
DCA_SB_50_892,82,3,0.036585366,75
NAT_GII_sel_MFNO01000004.1/27397-27201,142,77,0.542253521,121
DCA_TM_2884,23,5,0.217391304,49
MIN_CONST_502,119,35,0.294117647,139
DCA_TM_2961,88,3,0.034090909,47
DCA_TM_3801,215,106,0.493023256,45
AZO_RM_30_mut_647,55,25,0.454545455,7
NAT_GII_sel_MHFC01000052.1/7218-7022,76,72,0.947368421,117
AZO_RM_30_mut_640,45,70,1.555555556,5
AZO_RM_30_mut_325,34,114,3.352941176,4
DCA_TM_3209,116,8,0.068965517,56
NAT_GII_sel_MFDT01000065.1/2365-2167,13,50,3.846153846,128
FULL_3D_CONST_884,438,32,0.073059361,94
DCA_TM_157,89,59,0.662921348,49
DCA_TM_4817,48,89,1.854166667,49
DCA_SB_75_687,55,2,0.036363636,55
MIN_CONST_672,999,5,0.005005005,139
AZO_RM_30_mut_540,31,67,2.161290323,6
NAT_GII_sel_MRCE01000008.1/100303-100107,308,198,0.642857143,118
AZO_RM_30_mut_287,103,85,0.825242718,9
